pairs,Vasicek,Cointegration
1.0,-0.2771833357896282,0.47202690627497385
3.0,0.04074687538251632,0.7609664124518217
5.0,0.030479283539731204,0.8649414070193386
7.0,0.21426364716682364,0.9503757488191428
9.0,0.25359344380473087,1.0032718790728572
11.0,0.08730361003223967,1.1351655588309402
13.0,0.2773984073477844,1.114073607038461
15.0,0.34812889287183063,1.306724039789406
17.0,0.31426656141292675,1.3364966822359312
19.0,0.25562142103410995,1.3938235829665473
21.0,0.14860065176873993,1.4805742678377263
23.0,0.14292235489857252,1.6935598008443313
25.0,0.07089282268880634,1.773359705440132
27.0,0.09793070413246675,1.8413929298237688
29.0,0.10021619685981506,2.0142095119919556
